ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
2003372680, 51.0254438433, 4.00272965033, 29A, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003373512, 51.1891423291, 4.44922018909, 313, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373520, 51.1878477494, 4.42845563136, 296, 1071, Grotesteenweg, 2640, 11002, Antwerpen, 11029, Mortsel
2003373507, 51.1891423291, 4.44922018909, 303, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373515, 51.1891423291, 4.44922018909, 319, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373523, 51.1878477494, 4.42845563136, 302, 1071, Grotesteenweg, 2640, 11002, Antwerpen, 11029, Mortsel
2003373505, 51.1891423291, 4.44922018909, 299, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373513, 51.1891423291, 4.44922018909, 315, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373521, 51.1878477494, 4.42845563136, 298, 1071, Grotesteenweg, 2640, 11002, Antwerpen, 11029, Mortsel
2003373510, 51.1891423291, 4.44922018909, 309, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373518, 51.1891423291, 4.44922018909, 325, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373577, 51.175925441, 4.42297064815, 253, 2167, Oosterveldlaan, 2640, 11002, Antwerpen, 11029, Mortsel
2003372676, 51.0251286687, 4.00087529121, 13, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003372678, 51.0251955226, 4.00109783634, 17A, 64681, Dorp, 9260, 42003, Berlare, 42026, Wichelen
2003373511, 51.1891423291, 4.44922018909, 311, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373509, 51.1891423291, 4.44922018909, 307, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373517, 51.1891423291, 4.44922018909, 323, 666, Deurnestraat, 2640, 11002, Antwerpen, 11029, Mortsel
2003373576, 51.175925441, 4.42297064815, 251, 2167, Oosterveldlaan, 2640, 11002, Antwerpen, 11029, Mortsel
2003373519, 51.1878477494, 4.42845563136, 294, 1071, Grotesteenweg, 2640, 11002, Antwerpen, 11029, Mortsel
2003373578, 51.175925441, 4.42297064815, 255, 2167, Oosterveldlaan, 2640, 11002, Antwerpen, 11029, Mortsel
2003376339, 51.1713794851, 3.75784091239, 25A, 69250, Spechtstraat, 9000, 44019, Evergem, 44021, Gent
2003376062, 51.2953596251, 3.07531121693, 75, 56561, Duindistellaan, 8370, 35029, De Haan, 31004, Blankenberge
2003374188, 50.8746150368, 3.55486973677, 11, 75680, Kalverstraat, 9770, 45061, Wortegem-Petegem, 45017, Kruishoutem
2003376370, 51.1713794851, 3.75784091239, 25, 69250, Spechtstraat, 9000, 44019, Evergem, 44021, Gent
2003377060, 51.0538142988, 3.93270835539, 49, 141856, DONKERWEGEL, 9270, 42003, Berlare, 42010, Laarne
2003406057, 50.8250198309, 3.23410046149, 526, 52436, Meensesteenweg, 8560, 34022, Kortrijk, 34041, Wevelgem
2003406050, 50.8250198309, 3.23410046149, 532, 52436, Meensesteenweg, 8560, 34022, Kortrijk, 34041, Wevelgem
2003405756, 51.1424000393, 3.64799616026, 1A, 68983, Bosstraat, 9920, 44019, Evergem, 44036, Lovendegem
2003406021, 50.8250198309, 3.23410046149, 524, 52436, Meensesteenweg, 8560, 34022, Kortrijk, 34041, Wevelgem
2003406061, 50.8250198309, 3.23410046149, 534, 52436, Meensesteenweg, 8560, 34022, Kortrijk, 34041, Wevelgem
2003405755, 51.1432718168, 3.64585077024, 19, 68983, Bosstraat, 9920, 44019, Evergem, 44036, Lovendegem
2003405757, 51.1432718168, 3.64585077024, 20, 68983, Bosstraat, 9920, 44019, Evergem, 44036, Lovendegem
2003419200, 51.0999063813, 5.21837533194, 94, 115550, Pater Clement Lemmensstraat, 3581, 71034, Leopoldsburg, 71004, Beringen
2003419199, 51.0999063813, 5.21837533194, 78, 115550, Pater Clement Lemmensstraat, 3581, 71034, Leopoldsburg, 71004, Beringen
2003420669, 50.8446985113, 4.98158662597, 63, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420695, 50.9831442886, 5.09611255767, 24, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003420703, 50.9853184187, 5.09551655023, 65, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003420671, 50.8446985113, 4.98158662597, 67, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420697, 50.9853184187, 5.09551655023, 56, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003418777, 51.0999063813, 5.21837533194, 82, 115550, Pater Clement Lemmensstraat, 3581, 71034, Leopoldsburg, 71004, Beringen
2003418913, 51.0999063813, 5.21837533194, 92, 115550, Pater Clement Lemmensstraat, 3581, 71034, Leopoldsburg, 71004, Beringen
2003420675, 50.8445612104, 4.98229578665, 79, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420701, 50.9853184187, 5.09551655023, 62, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003420670, 50.8446985113, 4.98158662597, 65, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420696, 50.9853184187, 5.09551655023, 54, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003420704, 50.9853184187, 5.09551655023, 66, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003421543, 50.8424292204, 4.47127376339, 7, 31047, Bloemenlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421580, 50.8449177946, 4.4726905888, 44, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421588, 50.8422044021, 4.47075049981, 74, 31142, Oppemlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003420705, 50.9853184187, 5.09551655023, 68, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003421545, 50.8388516979, 4.48365746, 90, 31060, de Grunnelaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421582, 50.8449177946, 4.4726905888, 48, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421541, 50.8428392101, 4.47150368016, 3, 31047, Bloemenlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421586, 50.8449177946, 4.4726905888, 58, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003420668, 50.8446507, 4.98025922884, 57, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420677, 50.8618643939, 5.02486864995, 101, 37115, Bredestraat, 3470, 24133, Linter, 24054, Kortenaken
2003420702, 50.9853184187, 5.09551655023, 64, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003421542, 50.8426342603, 4.47138865038, 5, 31047, Bloemenlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421587, 50.8449177946, 4.4726905888, 60A, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421544, 50.8422242704, 4.47115873561, 9, 31047, Bloemenlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421581, 50.8449177946, 4.4726905888, 46, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003420674, 50.8446985113, 4.98158662597, 75, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420700, 50.9853184187, 5.09551655023, 60A, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003420673, 50.8446985113, 4.98158662597, 73, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420699, 50.9853184187, 5.09551655023, 60, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003422184, 50.9937758802, 3.77471730832, 80, 72609, Heidestraat, 9820, 44040, Melle, 44043, Merelbeke
2003421477, 50.8670653657, 4.45013426579, 2A, 29690, Jozef Van Hovestraat, 1950, 23094, Zaventem, 23099, Kraainem
2003421584, 50.8449177946, 4.4726905888, 54, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003420672, 50.8446985113, 4.98158662597, 69, 36795, Uilstraat, 3472, 24107, Tienen, 24054, Kortenaken
2003420698, 50.9853184187, 5.09551655023, 57, 114471, Oude Schansstraat, 3470, 71020, Halen, 24054, Kortenaken
2003421583, 50.8449177946, 4.4726905888, 52, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421540, 50.8430442497, 4.47161871114, 1, 31047, Bloemenlaan, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003421585, 50.8449177946, 4.4726905888, 56, 31074, Ferdinand Kinnenstraat, 1950, 23103, Wezembeek-Oppem, 23099, Kraainem
2003433628, 51.1752523417, 4.21278460028, 11, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003433687, 51.1752523417, 4.21278460028, 1, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003433778, 51.1752523417, 4.21278460028, 15, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003433535, 51.1752523417, 4.21278460028, 13, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003433764, 51.1752523417, 4.21278460028, 5, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003433763, 51.1752523417, 4.21278460028, 3, 77951, Tassijnslaan, 9120, 46021, Sint-Niklaas, 46003, Beveren
2003444559, 51.0606994209, 4.20611575803, 38, 9255, Halvemaanstraat, 2890, 12007, Bornem, 12034, Sint-Amands
2003445109, 50.9542765079, 5.03040755517, 379, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445103, 50.9542782191, 5.0304229504, 381, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445121, 50.9542747975, 5.03039201762, 377, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445116, 50.9542832611, 5.03046941947, 387, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445124, 50.9499343343, 5.03462554436, 400, 32080, Wolvenstraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445115, 50.9542815499, 5.03045402423, 385, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
2003445123, 50.9542798395, 5.03043848668, 383, 32040, Kwadestraat, 3290, 24008, Bekkevoort, 24020, Diest
